cosmo_name,smiles,inchi,cosmo_conf,source
methyl-tert-amylether,COC(C)(C)CC,"InChI=1/C6H14O/c1-5-6(2,3)7-4/h5H2,1-4H3",5,COSMObase
2-ethoxy-2-methyl-propane,CCOC(C)(C)C,"InChI=1/C6H14O/c1-5-7-6(2,3)4/h5H2,1-4H3",1,COSMObase
4-methyl-2-pentanol,OC(C)CC(C)C,"InChI=1/C6H14O/c1-5(2)4-6(3)7/h5-7H,4H2,1-3H3",4,COSMObase
1-propoxy-2-propanol,CCCOCC(O)C,"InChI=1/C6H14O2/c1-3-4-8-5-6(2)7/h6-7H,3-5H2,1-2H3",14,COSMObase
diethyleneglycolmonoethylether,OCCOCCOCC,"InChI=1/C6H14O3/c1-2-8-5-6-9-4-3-7/h7H,2-6H2,1H3",21,COSMObase
diglyme,COCCOCCOC,"InChI=1/C6H14O3/c1-7-3-5-9-6-4-8-2/h3-6H2,1-2H3",18,COSMObase
triethyleneglycol,OCCOCCOCCO,"InChI=1/C6H14O4/c7-1-3-9-5-6-10-4-2-8/h7-8H,1-6H2",27,COSMObase
triethylphosphate,CCOP(OCC)(OCC)=O,"InChI=1/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3",12,COSMObase
hexamethylphosphoramide,CN(C)P(=O)(N(C)C)N(C)C,"InChI=1/C6H18N3OP/c1-7(2)11(10,8(3)4)9(5)6/h1-6H3",5,COSMObase
"3,3'-oxybis-propanenitrile",N#CCCOCCC#N,"InChI=1/C6H8N2O/c7-3-1-5-9-6-2-4-8/h1-2,5-6H2",6,COSMObase
perfluoroheptane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1/C7F16/c8-1(9,2(10,11)4(14,15)6(18,19)20)3(12,13)5(16,17)7(21,22)23",1,COSMObase
2-heptanone,CCCCCC(C)=O,"InChI=1/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",3,COSMObase
3-heptanone,CCCCC(CC)=O,"InChI=1/C7H14O/c1-3-5-6-7(8)4-2/h3-6H2,1-2H3",2,COSMObase
3-methyl-hexane,CCCC(C)CC,"InChI=1/C7H16/c1-4-6-7(3)5-2/h7H,4-6H2,1-3H3",1,COSMObase
"2,4-dimethylpentane",CC(C)CC(C)C,"InChI=1/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3",1,COSMObase
"1-(1,1-dimethylethoxy)-2-propanol",OC(C)COC(C)(C)C,"InChI=1/C7H16O2/c1-6(8)5-9-7(2,3)4/h6,8H,5H2,1-4H3",5,COSMObase
2-2-(2-methoxyethoxy)ethoxyethanol,COCCOCCOCCO,"InChI=1/C7H16O4/c1-9-4-5-11-7-6-10-3-2-8/h8H,2-7H2,1H3",26,COSMObase
2-nitrotoluene,Cc1ccccc1N(=O)=O,"InChI=1/C7H7NO2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3",2,COSMObase
